"Title","Start","End","Duration"
"Technical Work","12/20/2015 00:00","12/20/2015 01:30","01:30"
"Sleep","12/20/2015 01:30","12/20/2015 05:30","04:00"
"Personal","12/20/2015 05:30","12/20/2015 13:00","07:30"
"Technical Work","12/20/2015 13:00","12/20/2015 15:00","02:00"
"Personal","12/20/2015 15:00","12/20/2015 22:30","07:30"
"Technical Work","12/20/2015 22:30","12/21/2015 00:00","01:30"
"Technical Work","12/21/2015 00:00","12/21/2015 01:00","01:00"
"Sleep","12/21/2015 01:00","12/21/2015 05:15","04:15"
"Personal","12/21/2015 05:15","12/21/2015 08:00","02:45"
"Meetings","12/21/2015 08:00","12/21/2015 08:45","00:45"
"Personal","12/21/2015 08:45","12/21/2015 13:00","04:15"
"Non-Technical Work","12/21/2015 13:00","12/21/2015 14:30","01:30"
"Personal","12/21/2015 14:30","12/21/2015 22:30","08:00"
"Technical Work","12/21/2015 22:30","12/22/2015 00:00","01:30"
"Technical Work","12/22/2015 00:00","12/22/2015 01:00","01:00"
"Sleep","12/22/2015 01:00","12/22/2015 07:00","06:00"
"Personal","12/22/2015 07:00","12/22/2015 08:00","01:00"
"Meetings","12/22/2015 08:00","12/22/2015 08:45","00:45"
